office_id,office_name,address1,address2,city,country,state_province,postal_code,primary_phone_number,fax_number,public_phone_name,public_phone_number,public_comments,general_email_address,wish_referral_email_address,contact_us_email_address,website_admin_email_address,media_contact_name,media_contact_title,media_contact_phone,media_contact_email,development_contact_name,development_contact_title,development_contact_phone,development_contact_fax,development_contact_email,website_url,twitter_account,twitter_handle,facebook_acct,facebook_admin_id,facebook_app_id,google_acct,validator_bbb_url,validator_charity_navigator_url,validator_charity_navigator_rating,feedburner_url,tax_id,email_marketing_code,donation_enabled,twitter_app_id,twitter_app_secret,facebook_app_secret,youtube_url,country_code,office_legal_name,utc,dst
007-000,Make-A-Wish? Orange County & the Inland Empire,14232 Red Hill Avenue, ,Tustin,,CA,92780-5836,(714) 573-9474 ,(714) 689-0985 ,,,"Serves 3 counties of California: Orange, Riverside, and San Bernardino",getinvolved@wishocie.org,wishreferrals@wishocie.org,getinvolved@wishocie.org,meuperio@wishocie.org,Sarah A Pizzaruso,Director of Development,(714) 573-9474 x230,spizzaruso@wishocie.org,Christine  Gaxiola-Aranda,Donor Care Manager,(714) 573-9474 x220,(714) 689-0985 ,CGaxiola@wishocie.org,ocie.wish.org,http://twitter.com/#!/MakeAWishOCIE,@MakeAWishOCIE,https://www.facebook.com/MakeAWishOCIE,MakeAWishOCIE,4.48691E+14,UA-10695845-8,NULL,NULL,NULL,,33-0036556,,1,Q0xpeI3bDjNEjV9yBGfFA,TgDKfJGzWbcDVcHKp0Zb9noqozempI82oQGNvvdIKw,850662d87ae80b44c1bc95717730dfe4,http://youtube.com/makeawishocie,NULL,Make-A-Wish Foundation? of Orange County & the Inland Empire,-8,Y
007-001,"Make-A-Wish? Orange County & the Inland Empire, Riverside Office",3521 Main Street, ,Riverside,,CA,92501,(951) 321-0179 ,(951) 321-0125 ,,,"Serves Orange, Riverside and San Bernardino Counties",orangeco@wishocie.org,orangeco@wishocie.org,getinvolved@wishocie.org,meuperio@wishocie.org,Sarah A Pizzaruso,Director of Development,(714) 573-9474 x230,spizzaruso@wishocie.org,Christine  Gaxiola-Aranda,Donor Care Manager,(714) 573-9474 x220,(714) 689-0985 ,CGaxiola@wishocie.org,ocie.wish.org,,,https://www.facebook.com/MakeAWishOCIE,MakeAWishOCIE,4.48691E+14,UA-10695845-8,NULL,NULL,NULL,,33-0036556,,1,,,,,NULL,"Make-A-Wish Foundation? of Orange County & the Inland Empire, Riverside Office",-8,Y
008-000,"Make-A-Wish? Greater Pennsylvania & Southern West Virginia, Inc.",The Gulf Tower,"707 Grant Street, 37th Floor",Pittsburgh,,PA,15219-1938,(412) 471-9474 ,(412) 471-9705 ,Toll Free,(800) 676-9474 ,"Serving 57 counties of western, central and northeastern Pennsylvania and the southern 1/2 of West Virginia",greaterpa@wishworld.org,greaterpa@wishworld.org,greaterpa@wishworld.org,cpraskovich@wishworld.org,Ann K Hohn,Chief Operating Officer,(412) 471-9474 ,ahohn@wishworld.org,Barbara L Becker,Chief Development Officer,(412) 471-9474 ,(412) 471-9705 ,bbecker@wishworld.org,www.wishgreaterpa.org,,,https://www.facebook.com/pages/Make-A-Wish-Greater-PA-and-Southern-WV/11287224218,11287224218,1.44064E+14,UA-10695845-9,NULL,NULL,NULL,,25-1464177,,1,,,29da368eb68c8115dbd7b43cd764807e,http://www.youtube.com/makeawishgtrpaswv,NULL,"Make-A-Wish Foundation? of Greater Pennsylvania & Southern West Virginia, Inc.",-5,Y
008-004,"Make-A-Wish? Greater Pennsylvania & Southern WV, Charleston Office",1031 Quarrier Street, Suite 401,Charleston,,WV,25301,(304) 342-9474 ,(304) 345-6568 ,Toll Free,(800) 664-9474 ,Serves the southern 1/2 of West Virginia,greaterpa@wishworld.org,greaterpa@wishworld.org,greaterpa@wishworld.org,cpraskovich@wishworld.org,Ann K Hohn,Chief Operating Officer,(412) 471-9474 ,ahohn@wishworld.org,Barbara L Becker,Chief Development Officer,(412) 471-9474 ,(412) 471-9705 ,bbecker@wishworld.org,www.wishgreaterpa.org,,,https://www.facebook.com/pages/Make-A-Wish-Greater-PA-and-Southern-WV/11287224218,11287224218,1.44064E+14,UA-10695845-9,NULL,NULL,NULL,,25-1464177,,1,,,,,NULL,"Make-A-Wish Foundation? of Greater Pennsylvania & Southern WV, Charleston Office",-5,Y
009-000,Make-A-Wish? Colorado,7951 E. Maplewood Avenue,Suite 126,Greenwood Village,,CO,80111,(303) 750-9474 ,(303) 755-3108 ,Toll Free Colorado Only,(800) 366-9474 ,Serves the entire state of Colorado,colorado@colorado.wish.org,colorado@colorado.wish.org,colorado@colorado.wish.org,aford@colorado.wish.org,Amanda  Ford,Communications Coordinator,(303) 750-9474 ,aford@colorado.wish.org,Gloria  Jara,Director of Development,(303) 750-9474 ,(303) 755-3108 ,gjara@colorado.wish.org,www.colorado.wish.org,,,,,3.41561E+14,UA-10695845-10,NULL,NULL,NULL,,74-2273004,,1,d1nesSXKXpXn0PTJ2mw,nZhJ7TIuvK68IQytdhXWu9Xz74wL9doHnWFzXgrZIU,61e59e7e8a349088a40b86b2f854409e,,NULL,Make-A-Wish Foundation? of Colorado,-7,Y
010-000,Make-A-Wish? Metro New York and Western New York,1111 Marcus Avenue,Suite LL22,Lake Success,,NY,11042,(516) 944-6212 ,(516) 944-6441 ,Toll Free Emergency Only,(888) 566-8476 ,"Serves 5 boroughs (Manhattan, Bronx, Brooklyn, Queens and Staten Island), Nassau County, Long Island, and the western portion of New York state.",info@metrony.wish.org,wishes@metrony.wish.org,info@metrony.wish.org,afishbein@metrony.wish.org,Gaby  Sappington,"Vice President, Marketing & Community Relations",(212) 957-9475 ,gsappington@metrony.wish.org,Julia   Masucci,"Director, Donor Care & Executive Administration",(516) 944-6212 x120,(516) 944-6441 ,jmasucci@metrony.wish.org,metrony.wish.org,,,,,,UA-10695845-11,NULL,NULL,NULL,,11-2645641,,1,,,,,NULL,Make-A-Wish Foundation? of Metro New York and Western New York,-5,Y
010-002,"Make-A-Wish? Metro New York and Western New York, Buffalo Regional Office",4600 Main Street,Suite 101,Snyder,,NY,14226,(716) 810-9474 ,(716) 631-8869 ,,,Serves eight counties in the western portion of New York state,WNYChapter@wny.wish.org,wishes@metrony.wish.org,info@metrony.wish.org,afishbein@metrony.wish.org,Gaby  Sappington,"Vice President, Marketing & Community Relations",(212) 957-9475 ,gsappington@metrony.wish.org,Julia   Masucci,"Director, Donor Care & Executive Administration",(516) 944-6212 x120,(516) 944-6441 ,jmasucci@metrony.wish.org,wny.wish.org,,,,,,UA-10695845-11,NULL,NULL,NULL,,11-2645641,,1,,,,,NULL,"Make-A-Wish Foundation? of Metro New York and Western New York, Buffalo Regional Office",-5,Y
010-003,"Make-A-Wish? Metro New York and Western New York, Rochester Regional Office",1855 Monroe Avenue,Suite 4,Rochester,United States,NY,14618,(585) 272-9474 ,(585) 272-9463 ,,,Serves nine counties in the western portion of New York state,WNYChapter@wny.wish.org,wishes@metrony.wish.org,info@metrony.wish.org,afishbein@metrony.wish.org,Gaby  Sappington,"Vice President, Marketing & Community Relations",(212) 957-9475 ,gsappington@metrony.wish.org,Julia   Masucci,"Director, Donor Care & Executive Administration",(516) 944-6212 x120,(516) 944-6441 ,jmasucci@metrony.wish.org,wny.wish.org,NULL,NULL,,,,UA-10695845-11,NULL,NULL,NULL,,11-2645641,,1,NULL,NULL,NULL,NULL,NULL,"Make-A-Wish Foundation? of Metro New York and Western New York, Rochester Regional Office",-5,Y
011-000,"Make-A-Wish? Ohio, Kentucky & Indiana",2545 Farmers Drive,Suite 300,Columbus,,OH,43235,(614) 923-0555 ,(614) 923-0560 ,Toll Free,(877) 206-9474 ,"Serves Ohio, Kentucky and Indiana",corporate@makeawishohio.org,kimp@makeawishohio.org,corporate@makeawishohio.org,robertp@makeawishohio.org,Emily  Denholm,Marketing Communications Coordinator,(614) 495-3734 ,EmilyD@makeawishohio.org,Robbie  Baker,VP Development,(614) 923-0555 x3733,(614) 923-0560 ,robbieb@makeawishohio.org,www.makeawishohio.org,,,http://www.facebook.com/makeawishohkyin,5.08953E+14,4.82099E+14,UA-10695845-12,NULL,NULL,NULL,,34-1471131,,1,,,1b7413e88a9d2dc22257af1662e32738,http://www.youtube.com/user/MakeAWishOHKYIN,NULL,"Make-A-Wish Foundation? of Ohio, Kentucky & Indiana",-5,Y
011-001,"Make-A-Wish? Ohio, Kentucky & Indiana, Northeast Ohio Region",6060 Rockside Woods Blvd,Suite 315,Independence,,OH,44131,(216) 241-3670 ,(216) 642-6162 ,Toll Free,(888) 272-9474 ,Serves Northeast Ohio.,neohio@makeawishohio.org,kimp@makeawishohio.org,corporate@makeawishohio.org,robertp@makeawishohio.org,Emily  Denholm,Marketing Communications Coordinator,(614) 495-3734 ,EmilyD@makeawishohio.org,Robbie  Baker,VP Development,(614) 923-0555 x3733,(614) 923-0560 ,robbieb@makeawishohio.org,www.makeawishohio.org,,,http://www.facebook.com/makeawishohkyin,5.08953E+14,4.82099E+14,UA-10695845-12,NULL,NULL,NULL,,34-1471131,,1,,,,,NULL,"Make-A-Wish Foundation? of Ohio, Kentucky & Indiana, Northeast Ohio Region",-5,Y
011-002,"Make-A-Wish? Ohio, Kentucky & Indiana, Central Ohio Region",2545 Farmers Drive,Suite 300,Columbus,United States,OH,43235,(614) 923-0555 ,(614) 923-0573 ,Toll Free,(877) 206-9474 ,Serves Central Ohio from Eastern to Western borders.,centralohio@makeawishohio.org,kimp@makeawishohio.org,corporate@makeawishohio.org,robertp@makeawishohio.org,Emily  Denholm,Marketing Communications Coordinator,(614) 495-3734 ,EmilyD@makeawishohio.org,Robbie  Baker,VP Development,(614) 923-0555 x3733,(614) 923-0560 ,robbieb@makeawishohio.org,www.makeawishohio.org,,,http://www.facebook.com/makeawishohkyin,5.08953E+14,4.82099E+14,UA-10695845-12,NULL,NULL,NULL,,34-1471131,,1,NULL,NULL,NULL,NULL,NULL,"Make-A-Wish Foundation? of Ohio, Kentucky & Indiana, Central Ohio Region",-5,Y
011-003,"Make-A-Wish? Ohio, Kentucky & Indiana, Southern Ohio Region",10260 Alliance Road,Suite 200,Cincinnati,United States,OH,45242,(513) 745-9474 ,(513) 745-9660 ,Toll Free,(888) 441-9474 ,"Serves Greater Cincinnati, all of Southern Ohio, parts of Northern Kentucky & parts of Southeastern Indiana",southohio@makeawishohio.org,kimp@makeawishohio.org,corporate@makeawishohio.org,robertp@makeawishohio.org,Emily  Denholm,Marketing Communications Coordinator,(614) 495-3734 ,EmilyD@makeawishohio.org,Robbie  Baker,VP Development,(614) 923-0555 x3733,(614) 923-0560 ,robbieb@makeawishohio.org,www.makeawishohio.org,,,http://www.facebook.com/makeawishohkyin,5.08953E+14,4.82099E+14,UA-10695845-12,NULL,NULL,NULL,,34-1471131,,1,NULL,NULL,NULL,NULL,NULL,"Make-A-Wish Foundation? of Ohio, Kentucky & Indiana, Southern Ohio Region",-5,Y
011-004,"Make-A-Wish? Ohio, Kentucky & Indiana, Kentucky & Southern Indiana Region",1230 Liberty Bank Lane,Suite 300,Louisville,United States,KY,40222,(502) 327-0705 ,(502) 327-0706 ,Toll Free Kentucky Only,(866) 487-9474 ,Serves the commonwealth of Kentucky & parts of Southern Indiana,kentuckymaw@makeawishky.org,kimp@makeawishohio.org,corporate@makeawishohio.org,robertp@makeawishohio.org,Emily  Denholm,Marketing Communications Coordinator,(614) 495-3734 ,EmilyD@makeawishohio.org,Robbie  Baker,VP Development,(614) 923-0555 x3733,(614) 923-0560 ,robbieb@makeawishohio.org,www.makeawishky.org,,,http://www.facebook.com/makeawishohkyin,5.08953E+14,4.82099E+14,UA-10695845-12,NULL,NULL,NULL,,34-1471131,,1,NULL,NULL,NULL,NULL,NULL,"Make-A-Wish Foundation? of Ohio, Kentucky & Indiana, Kentucky & Southern Indiana Region",-5,Y
011-005,"Make-A-Wish? Ohio, Kentucky & Indiana, Indiana Region",7330 Woodland Drive,Suite 201,Indianapolis,United States,IN,46278,(317) 636-6060 ,(317) 636-2445 ,Toll Free Wish Families Only,(877) 872-2756 , Serves the state of Indiana,indiana@makeawishindiana.org,kimp@makeawishohio.org,corporate@makeawishohio.org,robertp@makeawishohio.org,Emily  Denholm,Marketing Communications Coordinator,(614) 495-3734 ,EmilyD@makeawishohio.org,Robbie  Baker,VP Development,(614) 923-0555 x3733,(614) 923-0560 ,robbieb@makeawishohio.org,www.makeawishindiana.org,,,http://www.facebook.com/makeawishohkyin,5.08953E+14,4.82099E+14,UA-10695845-12,NULL,NULL,NULL,,34-1471131,,1,NULL,NULL,NULL,NULL,NULL,"Make-A-Wish Foundation? of Ohio, Kentucky & Indiana, Indiana Region",-5,Y
011-008,"Make-A-Wish? Ohio, Kentucky & Indiana, Northwest Ohio Region",405 Madison Avenue,Suite 210,Toledo,United States,OH,43604,(419) 244-9474 ,(419) 244-9221 ,Toll Free,(800) 666-8539 ,Serves Northwest Ohio,nwohio@makeawishohio.org,kimp@makeawishohio.org,corporate@makeawishohio.org,robertp@makeawishohio.org,Emily  Denholm,Marketing Communications Coordinator,(614) 495-3734 ,EmilyD@makeawishohio.org,Robbie  Baker,VP Development,(614) 923-0555 x3733,(614) 923-0560 ,robbieb@makeawishohio.org,www.makeawishohio.org,,,http://www.facebook.com/makeawishohkyin,5.08953E+14,4.82099E+14,UA-10695845-12,NULL,NULL,NULL,,34-1471131,,1,NULL,NULL,NULL,NULL,NULL,"Make-A-Wish Foundation? of Ohio, Kentucky & Indiana, Northwest Ohio Region",-5,Y
012-000,Make-A-Wish? Northeastern California and Northern Nevada,2800 Club Center Drive,,Sacramento,,CA,95835,(916) 437-0206 ,(916) 515-0649 ,,,Serves northeastern California and northern Nevada.,info@sacnortheast.wish.org,jjohnston@necannv.wish.org,mflynn@necannv.wish.org,mflynn@necannv.wish.org,Michele  Flynn,Development & Communications Manager,(916) 437-0206 ,mflynn@sacnortheast.wish.org,Melissa  Arnold,Development Manager,(916) 692-3921 ,(916) 515-0649 ,marnold@sacnortheast.wish.org,www.necannv.wish.org,https://twitter.com/MakeAWishSacto,@MakeAWishSacto,https://www.facebook.com/MakeAWishSacramento,MakeAWishSacramento,4.49477E+14,UA-10695845-13,NULL,NULL,NULL,,68-0027351,,1,u3zFeEZQYGBtgYlxaH9fFQ,EfnNqXRlJRIgfCSbRGY6Vu1nlDD4pQCHiqR4H71u2Y,0f9c1c750123eddf1a91050ff52e1feb,http://www.youtube.com/user/MakeAWishSacramento,NULL,Make-A-Wish Foundation? of Northeastern California and Northern Nevada,-8,Y
012-001,"Make-A-Wish? Northeastern California and Northern Nevada, Northern Nevada Office",1575 Delucchi Lane,Suite 118,Reno,,NV,89502,(775) 826-8008 ,(775) 826-8042 ,,,Serves the 13 northern counties of Nevada,info@sacnortheast.wish.org,jjohnston@sacnortheast.wish.org,mflynn@necannv.wish.org,mflynn@necannv.wish.org,Michele  Flynn,Development & Communications Manager,(916) 437-0206 ,mflynn@sacnortheast.wish.org,Melissa  Arnold,Development Manager,(916) 692-3921 ,(916) 515-0649 ,marnold@sacnortheast.wish.org,sacnortheast.wish.org,,,https://www.facebook.com/MakeAWishSacramento,MakeAWishSacramento,4.49477E+14,UA-10695845-13,NULL,NULL,NULL,,68-0027351,,1,,,,,NULL,"Make-A-Wish Foundation? of Northeastern California and Northern Nevada, Northern Nevada Office",-8,Y
013-000,Make-A-Wish? Hawaii,P.O. Box 1877,,Honolulu,,HI,96805,(808) 537-3118 x100,(808) 536-5566 ,,,Serves the State of Hawaii,info@hawaii.wish.org,amarshall@hawaii.wish.org,info@hawaii.wish.org,eflannery@hawaii.wish.org,Jason  Black,Creative Specialist,(808) 397-0882 ,jblack@hawaii.wish.org,Siana A Hunt,President and CEO,(808) 537-3118 ,(808) 536-5566 ,shunt@hawaii.wish.org,www.hawaii.wish.org,,,https://www.facebook.com/makeawishhawaii,makeawishhawaii,,UA-10695845-14,NULL,NULL,NULL,,99-0220777,,1,,,,,NULL,Make-A-Wish Foundation? of Hawaii,-10,N
014-000,Make-A-Wish? Suffolk County? NY? Inc.,1 Comac Loop,Suite 1A1,Ronkonkoma,United States,NY,11779,(631) 585-9474 ,(631) 585-0762 ,Wish Emergency Cellular,(631) 495-6065 ,"Serves Suffolk County, Long Island, NY",wishmail@makeawish-suffolkny.org,wishmail@makeawish-suffolkny.org,wishmail@makeawish-suffolkny.org,joanne@makeawish-suffolkny.org,Karine  Hollander,President & CEO,(631) 585-9474 x319,karine@makeawish-suffolkny.org,Joanne  McGiveron,Director of Community Relations,(631) 585-9474 x321,(631) 585-0762 ,joanne@makeawish-suffolkny.org,www.makeawish-suffolkny.org,http://twitter.com/MakeAWishSuffCo,NULL,http://www.facebook.com/wishsuffolkny,NULL,NULL,UA-10695845-15,NULL,NULL,NULL,NULL,11-2666969,,1,NULL,NULL,NULL,NULL,NULL,Make-A-Wish Foundation? of Suffolk County? NY? Inc.,-5,Y
015-000,Make-A-Wish? Greater Los Angeles,1875 Century Park East,Suite 950,Los Angeles,,CA,90067,(310) 788-9474 ,(310) 785-9474 ,Toll Free Los Angeles Only,(800) 322-9474 ,Serves Los Angeles County,info@wishla.org,kschumann@wishla.org,info@wishla.org,svanderpool@wishla.org,Jenny  Davidson,VP of Development,(310) 788-9474 ,jdavidson@wishla.org,Michelle  Becker,"Senior Director of Development, Major Gifts",(310) 788-9474 x108,(310) 785-9474 ,mbecker@wishla.org,www.wishla.org,,,,,,UA-10695845-16,NULL,NULL,NULL,,95-4107024,,1,,,,,NULL,Make-A-Wish Foundation? of Greater Los Angeles,-8,Y
016-000,"Make-A-Wish? Mid-Atlantic, Inc.",5272 River Road,Suite 700,Bethesda,,MD,20816,(301) 962-9474 ,(301) 962-6900 ,After Hours Nightline,(301) 962-9474 ,"Serves all of Maryland, Delaware, D.C. and Northern Virginia",info@midatlantic.wish.org,wishreferral@midatlantic.wish.org,info@midatlantic.wish.org,info@midatlantic.wish.org,Tara  Wilson Jones,Director of Events & Marketing,(240) 395-4338 ,tjones@midatlantic.wish.org,Laura  Caldwell,President & CEO,(301) 962-9474 ,(301) 962-6900 ,lcaldwell@midatlantic.wish.org,midatlantic.wish.org,,,,,,UA-10695845-17,NULL,NULL,NULL,,52-1306075,,1,,,,,NULL,"Make-A-Wish Foundation? of the Mid-Atlantic, Inc.",-5,Y
016-001,"Make-A-Wish? Mid-Atlantic, Inc., Baltimore Field Office",9475 Deereco Road,"Deer Park Center, Suite 306",Timonium,United States,MD,21093,(410) 580-9474 ,(410) 453-9434 , ,,Serves Baltimore City and Baltimore County and 9 adjacent counties,info@midatlantic.wish.org,wishreferral@midatlantic.wish.org,info@midatlantic.wish.org,info@midatlantic.wish.org,Tara  Wilson Jones,Director of Events & Marketing,(240) 395-4338 ,tjones@midatlantic.wish.org,Laura  Caldwell,President & CEO,(301) 962-9474 ,(301) 962-6900 ,lcaldwell@midatlantic.wish.org,midatlantic.wish.org,NULL,NULL,,,,UA-10695845-17,NULL,NULL,NULL,,52-1306075,,1,NULL,NULL,NULL,NULL,NULL,"Make-A-Wish Foundation? of the Mid-Atlantic, Inc., Baltimore Field Office",-5,Y
